entity;'entity.n.01'
category;category.n.02'
degree;degree.n.01'
Explanation;'explanation.n.01'
degree;degree.n.02'
protagonist;protagonist.n.02'
figure;figure.n.04'
time;time.n.02'
idea;idea.n.01'
Time;time.n.01'
Place;place.v.12'
Means;means.n.01'
Purpose;aim.v.02'
Explanation;explanation.n.01'
Field;discipline.n.01'
Instrument;'instrument.n.02'
Manner;manner.n.01'
Basis;basis.n.02'
Location;'localization.n.01'
Agent;agent.n.01'
Degree;degree.n.01'
Instrument;instrument.n.02'
Frequency;frequency.n.01'
Means;means.n.02'
Manner;manner.n.01'
description;description.n.01'
iteration;iteration.n.03'
Depictive;'delineative.s.01'
Explanation;explanation.n.02'
iterations;'iteration.n.03'
Time;time.n.01'
event;'event.n.01'
Type;type.n.01'
Medium;'medium.n.01'
Place;'place.n.02'
Factor;'component.n.01'
degree;'degree.n.01'
undertaking;'undertaking.n.01'
explanation;'explanation.n.01'
party;'party.n.03'
field;field.n.06'
Time;'time.n.02'
frequency;'frequency.n.01'
place;'place.n.02'
