artificial;artificial.s.03'
bogus;bogus.s.01'
fake;fake.s.02'
counterfeit;forge.v.02'
false;false.a.01'
genuine;genuine.a.01'
ersatz;ersatz.n.01'
phoney;hypocrite.n.01'
pseudo;pseudo.s.01'
real;real.a.02'
actual;actual.s.03'
true;true.a.01'
disingenuous;disingenuous.a.01'
deceased;asleep.s.03'
lifeless;lifeless.s.01
dead;'dead.n.01'
alive;alive.a.01'
living;life.n.02'
nonliving;'inanimate.a.02'
live;be.v.11'
life;life.n.11'
late;late.s.04'
nap;sleep.n.03'
originate;originate.v.01'
pioneer;pioneer.n.01'
invent;invent.v.01'
discover;discover.v.03'
coin;coin.v.01'
coinage;'neologism.n.02'
discovery;discovery.n.01'
discoverer;'inventor.n.01'
originator;originator.n.01'
invention;'invention.n.03'
pioneer;'pioneer.n.02'
pioneering;initiate.v.02'
find;discovery.n.01'
artifact;'artifact.n.01'
offend;'hurt.v.05'
affront;'diss.v.01'
insult;'insult.n.02'
affront;'diss.v.01'
offensive;'offensive.s.01'
insult;abuse.n.02'
offense;'umbrage.n.01'
concern;'concern.n.01'
name;'name.n.01'
crucial;'crucial.a.01'
key;'key.n.02'
decisive;'decisive.s.02'
pivotal;'pivotal.s.01'
important;important.a.01'
significant;'importance.n.01'
significance;'significance.n.01'
import;consequence.n.03'
major;'major.a.01'
instrumental;'implemental.s.01'
vital;'critical.s.04'
considerable;'considerable.a.01'
fundamental;'fundamental.n.01'
main;'chief.s.01'
serious;'dangerous.s.02'
seriously;'badly.r.01'
acute;'acute.s.06'
landmark;'landmark.n.02'
epic;'epic.s.01'
count;count.v.07'
priority;'precedence.n.01'
