artificiality;artificiality.n.01
entity;entity.n.01
category;category.n.02
degree;degree.n.01
artificial;artificial.s.03
bogus;bogus.s.01
fake;fake.s.02
counterfeit;forge.v.02
false;false.a.01
genuine;genuine.a.01
ersatz;ersatz.n.01
phoney;hypocrite.n.01
pseudo;pseudo.s.01
real;real.a.02
actual;actual.s.03
true;true.a.01
disingenuous;disingenuous.a.01
dead;dead.n.01
Explanation;explanation.n.01
degree;degree.n.02
protagonist;protagonist.n.02
figure;figure.n.04
time;time.n.02
deceased;asleep.s.03
lifeless;lifeless.s.01
dead;dead.n.01
alive;alive.a.01
living;life.n.02
nonliving;inanimate.a.02
live;be.v.11
life;life.n.11
late;late.s.04
nap;sleep.n.03
Achieving;achieve.v.01
idea;idea.n.01
Time;time.n.01
Place;place.v.12
Means;means.n.01
Purpose;aim.v.02
Explanation;explanation.n.01
Field;discipline.n.01
Instrument;instrument.n.02
Manner;manner.n.01
Basis;basis.n.02
Location;localization.n.01
originate;originate.v.01
pioneer;pioneer.n.01
invent;invent.v.01
discover;discover.v.03
coin;coin.v.01
coinage;neologism.n.02
discovery;discovery.n.01
discoverer;inventor.n.01
originator;originator.n.01
invention;invention.n.03
pioneer;pioneer.n.02
pioneering;initiate.v.02
find;discovery.n.01
artifact;artifact.n.01
emotion;emotion.n.01
Agent;agent.n.01
Degree;degree.n.01
Instrument;instrument.n.02
Frequency;frequency.n.01
Means;means.n.02
Manner;manner.n.01
description;description.n.01
iteration;iteration.n.03
Depictive;delineative.s.01
Explanation;explanation.n.02
iterations;iteration.n.03
Time;time.n.01
event;event.n.01
Type;type.n.01
Medium;medium.n.01
Place;place.n.02
offend;hurt.v.05
affront;diss.v.01
insult;insult.n.02
affront;diss.v.01
offensive;offensive.s.01
insult;abuse.n.02
offense;umbrage.n.01
concern;concern.n.01
name;name.n.01
importance;importance.n.02
Factor;component.n.01
degree;degree.n.01
undertaking;undertaking.n.01
explanation;explanation.n.01
party;party.n.03
field;field.n.06
Time;time.n.02
frequency;frequency.n.01
place;place.n.02
crucial;crucial.a.01
key;key.n.02
decisive;decisive.s.02
pivotal;pivotal.s.01
important;important.a.01
significant;importance.n.01
significance;significance.n.01
import;consequence.n.03
major;major.a.01
instrumental;implemental.s.01
vital;critical.s.04
considerable;considerable.a.01
fundamental;fundamental.n.01
main;chief.s.01
serious;dangerous.s.02
seriously;badly.r.01
acute;acute.s.06
landmark;landmark.n.02
epic;epic.s.01
count;count.v.07
priority;precedence.n.01
